id,neighbourhood_cleansed,latitude,longitude,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people
11528376,Mission,37.75136488,-122.4089685,$100.00 ,,,,,1,$0.00 
15509687,Mission,37.76070044,-122.4076222,$98.00 ,,,,$300.00 ,1,$5.00 
4436956,Mission,37.75374293,-122.4034303,$65.00 ,$400.00 ,"$1,100.00 ",,$25.00 ,1,$25.00 
9201794,Mission,37.76443752,-122.4074289,$175.00 ,,,,$125.00 ,1,$0.00 
1863106,Mission,37.76724432,-122.4212892,$79.00 ,$464.00 ,"$1,599.00 ",$300.00 ,$49.00 ,1,$39.00 
17526405,Mission,37.76151096,-122.4220454,$80.00 ,,,,,1,$19.00 
16601533,Mission,37.76490477,-122.4239036,$75.00 ,,,,,1,$0.00 
9345890,Mission,37.75023463,-122.4149721,$52.00 ,,,,,1,$20.00 
10251,Mission,37.75874295,-122.413272,$250.00 ,"$1,540.00 ","$5,400.00 ",$500.00 ,$90.00 ,4,$45.00 
10889290,Mission,37.7615991,-122.4216489,"$1,000.00 ",,,,$150.00 ,1,$0.00 
14673975,Mission,37.76539394,-122.4183993,$95.00 ,,,,$75.00 ,1,$20.00 
7546927,Mission,37.77142456,-122.4234505,"$1,000.00 ","$1,893.00 ","$6,912.00 ",,$27.00 ,4,$20.00 
10070039,Mission,37.75967033,-122.4147865,$325.00 ,,"$8,500.00 ","$1,000.00 ",$260.00 ,4,$50.00 
15853561,Mission,37.76207429,-122.4063294,$650.00 ,,,$950.00 ,$250.00 ,6,$100.00 
187730,Mission,37.75756728,-122.4193947,$65.00 ,,"$1,500.00 ",$300.00 ,$75.00 ,1,$0.00 
17590102,Mission,37.76847404,-122.4251584,$125.00 ,,,,$82.00 ,1,$25.00 
9119573,Mission,37.75975848,-122.4071105,$325.00 ,,,,$100.00 ,6,$20.00 
17329609,Mission,37.75986511,-122.41754,$75.00 ,,,,$10.00 ,1,$0.00 
17464690,Mission,37.75862522,-122.4196387,$78.00 ,,,,$40.00 ,1,$10.00 
829185,Mission,37.77109003,-122.4240191,$399.00 ,"$3,891.00 ","$13,734.00 ",,$90.00 ,2,$35.00 
943851,Mission,37.75708418,-122.4080119,$207.00 ,"$1,499.00 ",,$500.00 ,$110.00 ,3,$50.00 
14125801,Mission,37.7615023,-122.4211684,$320.00 ,,,,$75.00 ,1,$0.00 
2188976,Mission,37.76456493,-122.4138323,$101.00 ,$700.00 ,"$2,875.00 ",$95.00 ,$35.00 ,1,$10.00 
420160,Mission,37.76317552,-122.4070776,$99.00 ,$900.00 ,"$3,500.00 ",$200.00 ,$60.00 ,1,$25.00 
7956829,Mission,37.75570083,-122.4232314,$300.00 ,"$1,800.00 ",,$250.00 ,$90.00 ,4,$50.00 
1370425,Mission,37.7487178,-122.4199096,$202.00 ,"$1,350.00 ","$3,580.00 ",,$35.00 ,1,$5.00 
2255169,Mission,37.75608406,-122.4225961,$71.00 ,,,$95.00 ,$20.00 ,1,$0.00 
9578797,Mission,37.76174179,-122.4175331,$107.00 ,,,,,1,$0.00 
3238142,Mission,37.75523738,-122.4219086,$196.00 ,"$1,565.00 ","$5,523.00 ",$500.00 ,$95.00 ,1,$0.00 
3268637,Mission,37.76239584,-122.4065616,$70.00 ,$700.00 ,,,$25.00 ,1,$0.00 
7904207,Mission,37.75813893,-122.4143756,$170.00 ,$900.00 ,,,$30.00 ,2,$0.00 
15771352,Mission,37.75753408,-122.410455,$225.00 ,,,$500.00 ,$95.00 ,2,$0.00 
5482173,Mission,37.7666713,-122.4239593,$225.00 ,,,$300.00 ,$250.00 ,1,$0.00 
2188919,Mission,37.76602128,-122.4165001,$99.00 ,$699.00 ,"$2,990.00 ",$95.00 ,$35.00 ,1,$10.00 
6973090,Mission,37.75503446,-122.4190692,$65.00 ,,,,,1,$25.00 
15296054,Mission,37.7623101,-122.4197122,$300.00 ,,,,,1,$0.00 
501057,Mission,37.74946151,-122.4091694,$255.00 ,"$1,500.00 ",,$500.00 ,$125.00 ,4,$20.00 
3073304,Mission,37.76299792,-122.4217049,$95.00 ,,,$250.00 ,$35.00 ,1,$25.00 
2601183,Mission,37.75249635,-122.4099389,$75.00 ,,,,,1,$0.00 
7955738,Mission,37.76450813,-122.4164842,$90.00 ,$300.00 ,,,,1,$0.00 
7256961,Mission,37.75420874,-122.4177143,$105.00 ,,,,,1,$0.00 
7873804,Mission,37.76720776,-122.4171204,$50.00 ,"$1,000.00 ","$3,000.00 ",,,2,$50.00 
8742154,Mission,37.75171999,-122.4138625,$463.00 ,,,$500.00 ,$120.00 ,1,$0.00 
2319598,Mission,37.75559219,-122.4227863,$195.00 ,,"$4,250.00 ",,$100.00 ,4,$25.00 
3105998,Mission,37.75228981,-122.4159339,$200.00 ,,,$500.00 ,,1,$0.00 
7578824,Mission,37.76028596,-122.4234149,$138.00 ,,,,,1,$0.00 
7565515,Mission,37.76649136,-122.4065846,$120.00 ,$920.00 ,,,$10.00 ,1,$0.00 
5007321,Mission,37.7656085,-122.4200594,$239.00 ,,,$250.00 ,$100.00 ,6,$30.00 
9480122,Mission,37.75135009,-122.4235024,$140.00 ,$800.00 ,"$3,000.00 ","$2,000.00 ",$80.00 ,1,$0.00 
6924208,Mission,37.75315747,-122.4051128,$195.00 ,"$1,100.00 ",,$180.00 ,$80.00 ,1,$0.00 
7940010,Mission,37.75043561,-122.413185,$160.00 ,"$1,000.00 ",,$500.00 ,$81.00 ,4,$0.00 
9242110,Mission,37.76635223,-122.4211437,$129.00 ,,,$500.00 ,$75.00 ,2,$35.00 
386966,Mission,37.75658265,-122.4169822,$260.00 ,,,"$5,000.00 ",$150.00 ,1,$0.00 
17639292,Mission,37.76766368,-122.424679,$200.00 ,,,,$82.00 ,1,$25.00 
625935,Mission,37.75701828,-122.4212952,$140.00 ,$950.00 ,"$3,600.00 ",$200.00 ,$50.00 ,1,$0.00 
802839,Mission,37.75924925,-122.4230581,$300.00 ,"$1,200.00 ","$4,000.00 ",$500.00 ,$150.00 ,1,$0.00 
